book_id,book_title,library_final,collection,req_no,part,old_page_count,pan_dir_id_status,bucket,webp_status,webp_prefix,source_url,source_root,source_relative_path,author
fuji-RB00002039,金鶏医談 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/193,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002039/,,fujikawa,fujikawa/fuji-RB00002039,畑秀龍(道雲)著
fuji-RB00002040,金傷全書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/196,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002040/,,fujikawa,fujikawa/fuji-RB00002040,
fuji-RB00002058,金瘡神機 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/201,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002058/,,fujikawa,fujikawa/fuji-RB00002058,
fuji-RB00002059,金瘡治範 2巻 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/208,,2,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002059/,,fujikawa,fujikawa/fuji-RB00002059,
fuji-RB00002065,金瘡秘伝 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/204,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002065/,,fujikawa,fujikawa/fuji-RB00002065,中村入道等伝
fuji-RB00002066,(永井流)金瘡秘伝 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/205,,3,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002066/,,fujikawa,fujikawa/fuji-RB00002066,(於有馬湯治)宮木新太郎相伝
fuji-RB00002068,金瘡秘話 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/209,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002068/,,fujikawa,fujikawa/fuji-RB00002068,華岡青洲(震)著
fuji-RB00002070,錦袋 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/217,,1,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002070/,,fujikawa,fujikawa/fuji-RB00002070,
fuji-RB00002072,琴堂方鑑 10巻(巻1ー5・8-12) 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/216,,6,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002072/,,fujikawa,fujikawa/fuji-RB00002072,石崎子直著
fuji-RB00002079,錦嚢叢書 日本·京都大學圖書館,日本·京都大學富士川文庫,overseas,キ/224,,4,有(但页数不足),B_123有残件不足,done,book/fuji-RB00002079/,,fujikawa,fujikawa/fuji-RB00002079,
